test_id,category,run,text_input,text_output,safety_result,transition_used,latency_asr_latency,latency_safety_latency,latency_llm_first_sentence,latency_tts_first_chunk,latency_first_playable,latency_first_content,latency_total_response,latency_wall_total
zh_simple_1,简单中文,1,什么是龙骨,"龙骨是船舶最底层的基础结构，通俗来讲，它就像人体的脊椎骨，是整艘船的骨干，位于船底中心线从船头一直延伸到船尾。

从技术细节来看，龙骨是船体结构中最主要的纵向强力构件，其核心作用包括：

第一，承载与",safe,False,1206.78,0.03,2790.79,2625.17,6622.75,6622.74,6622.75,48455.54
zh_simple_1,简单中文,2,什么是龙骨,"龙骨是船舶最重要的基础承重结构，通俗来讲，它就像是船舶的脊梁骨，位于船底中心线贯穿首尾，是整艘船建造的起点和骨架的核心。

从技术细节来看，龙骨的作用和分类如下：

第一，结构基石。龙骨是船体骨架的纵",safe,False,267.15,0.03,6772.14,2792.78,9832.07,9832.07,9832.08,36464.07
zh_simple_1,简单中文,3,什么是龙骨,"龙骨是船舶结构中位于船底中心线的纵向强力构件，被称为船舶的“脊梁”。

通俗来说，如果把船体比作人体的骨骼，龙骨就是人的脊椎，它贯穿船头至船尾，是整艘船最基础、最核心的支撑结构。

从专业技术角度详解",safe,False,259.93,0.02,14086.18,2984.01,17330.12,17330.12,17330.13,50511.82
zh_simple_2,简单中文,1,船坞的作用是什么,"船坞是造船和修船的核心设施。通俗来说，它就像是给船舶用的一个大水槽，可以让船只安稳地停靠在干地上，方便人们在水线以下进行施工作业。

从技术细节来看，船坞主要分为造船坞和修船坞，其核心作用体现在以下几",safe,False,328.41,0.02,1153.64,2104.33,3586.39,3586.38,3586.39,36404.23
zh_simple_2,简单中文,2,船坞的作用是什么,"船坞是造船和修船的核心基础设施，主要用于船舶的建造、维修和检验。通俗来说，它就像是一个可以蓄水和排干的巨型水池，能够让庞大的船舶实现在水上和陆地之间的安全转移。

具体作用包括以下几个方面：

第一，",safe,False,380.22,0.02,4325.85,3666.43,8372.51,8372.5,8372.51,52448.07
zh_simple_2,简单中文,3,船坞的作用是什么,"船坞是造船和修船的核心设施。通俗地说，它就像是一个可以蓄水和排干的巨大水池，用于让船舶安全地出水登陆或下水航行。

从技术细节来看，船坞主要分为造船坞和修船坞，其核心作用如下：

第一，提供干燥的施工",safe,False,335.31,0.06,3908.54,3609.25,7853.1,7853.1,7853.11,33520.19
zh_simple_3,简单中文,1,甲板有哪些类型,"甲板是船舶顶部的水平结构，通俗来说就像房子的楼板，用于封盖船体内部空间并提供人员行走和设备布置的平台。在造船领域，甲板按不同维度可分为以下类型：

按位置和功能划分：
1. 强力甲板。通俗讲就是船体最",safe,False,313.72,0.03,10464.68,2459.58,13237.98,13237.98,13237.99,128371.32
zh_simple_3,简单中文,2,甲板有哪些类型,"甲板是船舶顶部的水平结构，通俗来说就像大楼的楼板，用于封盖船体内部空间并提供人员行走和设备布置的平台。在造船领域，根据位置和功能的不同，甲板主要分为以下几种类型：

第一类是按位置划分的甲板。最顶部的",safe,False,306.74,0.04,3589.23,2784.56,6680.53,6680.53,6680.54,46287.39
zh_simple_3,简单中文,3,甲板有哪些类型,"甲板是船舶顶部的水平结构，通俗来说就像大楼的楼板，将船体内部空间上下分层，同时承受人员、货物和风浪的载荷。在造船领域，甲板按其位置和功能主要分为以下几种类型：

1. 强力甲板。通俗讲就是船体最结实的",safe,False,305.41,0.02,15846.5,2722.77,18874.69,18874.69,18874.69,95853.13
zh_simple_4,简单中文,1,船体外板的主要作用是什么,"船体外板是构成船体水密外壳的钢板，其主要作用如下：

第一，形成水密外壳以提供浮力。通俗来说，就是像一只不漏水的铁桶，把海水挡在外面，确保船舶能够排开水获得浮力，这是船舶能漂浮在水面的基本前提。技术细",safe,False,389.99,0.02,2275.58,2609.78,5275.35,5275.35,5275.35,36408.12
zh_simple_4,简单中文,2,船体外板的主要作用是什么,"船体外板是构成船体水密外壳的钢板，其主要作用如下：

第一，形成水密外壳以提供浮力。外板是船舶最外层的屏障，通俗来说就像一个不漏水的大壳子，保证海水无法进入船体内部，从而为船舶提供必需的浮力，这是船舶",safe,False,389.99,0.02,4408.85,2478.44,7277.29,7277.29,7277.29,32294.92
zh_simple_4,简单中文,3,船体外板的主要作用是什么,"船体外板是构成船体水密外壳的板材组合，其主要作用如下：

第一，保证船体的水密性。这是外板最基础的功能，即防止海水进入船内，确保船舶具有足够的浮力，能够漂浮在水面上进行作业。

第二，承担船体总纵强度",safe,False,389.26,0.02,18373.9,2470.21,21233.36,21233.36,21233.37,38333.78
zh_simple_5,简单中文,1,螺旋桨为什么能推动船舶前进,"螺旋桨能推动船舶前进，其核心原理是作用力与反作用力。

通俗地讲，螺旋桨的叶片就像倾斜的螺旋面，当它在水中旋转时，就像螺丝钉拧进木头里一样，把水向船后方推开。水被推向后方的同时，也会给螺旋桨一个大小相",safe,False,475.42,0.06,1750.83,2470.34,4696.59,4696.59,4696.59,34852.11
zh_simple_5,简单中文,2,螺旋桨为什么能推动船舶前进,"螺旋桨之所以能推动船舶前进，其核心原理是利用流体力学中的反作用力，将发动机的旋转机械能转化为船舶前进的动能。

具体工作机理如下：

第一，螺旋桨的桨叶是一个扭曲的曲面，其剖面形状类似于飞机的机翼，这",safe,False,442.56,0.03,19110.8,2588.44,22141.81,22141.81,22141.82,46839.58
zh_simple_5,简单中文,3,螺旋桨为什么能推动船舶前进,"螺旋桨能推动船舶前进，核心原理在于它通过旋转将水向后方推开，从而获得水的反作用力推动船体向前。这就像人在陆地上走路，脚向后蹬地，地面就给人一个向前的推力一样，只是螺旋桨的介质从地面换成了水。

从专业",safe,False,687.73,0.03,3872.5,2707.24,7267.48,7267.48,7267.48,47610.92
en_simple_1,简单英文,1,it is a bllad,您输入的内容似乎不在造船领域内，可能属于音乐或文学范畴。本助手专注于造船领域的专业问答。如果您有关于船体结构、船舶性能、船舶系统或建造工艺等方面的问题，欢迎随时提问。,safe,False,302.2,0.04,8614.97,2430.79,11347.97,11347.97,11347.97,17164.7
en_simple_1,简单英文,2,it is a bllad,您好！您输入的“it is a bllad”似乎超出了造船领域的范畴。在英语中，“bllad”可能是“ballad”（民谣、叙事诗）的拼写错误，这属于文学或音乐领域，并非船舶工程相关内容。本助手专注于,safe,False,315.16,0.02,3290.95,2216.65,5822.77,5822.76,5822.77,21339.95
en_simple_1,简单英文,3,it is a bllad,"您好，根据语音识别的发音，您提到的""bllad""在造船领域极有可能是""压载""的误识别，对应的英文专业术语为""Ballast""。

以下是对船舶压载系统的专业解释：

压载系统是用于调节船舶重心、稳性和",safe,False,331.23,0.02,18012.77,2487.26,20831.26,20831.26,20831.27,43915.23
en_simple_2,简单英文,1,how does aler work onaship,"您好，根据您的语音输入，您询问的应该是船舶上的“锚”是如何工作的。在造船领域，锚是确保船舶在指定水域固定位置的关键设备。以下是其工作原理：

锚的工作核心并不在于锚钩本身“钩住”海底，而是利用锚爪切入",safe,False,414.8,0.02,22260.21,2360.57,25035.59,25035.59,25035.59,68793.21
en_simple_2,简单英文,2,how does aler work onaship,"您提到的aler在船舶领域通常是指舵（Rudder），结合语音识别，您想问的应该是舵在船上是如何工作的。舵是船舶上用来控制航行方向的装置，其工作原理基于流体力学中的压力差效应。

通俗来说，舵就像船的",safe,False,398.77,0.02,2234.4,3137.06,5770.23,5770.23,5770.23,26067.12
en_simple_2,简单英文,3,how does theler work onaship,"您的问题可能涉及语音识别误差，根据造船领域语境，我推测您想询问的是舵机或船舵的工作原理。以下是对这一系统的专业解析：

舵系统是船舶用于控制航向的关键装置，其工作原理基于流体力学。

首先是核心部件。",safe,False,392.59,0.03,20193.84,2581.96,23168.39,23168.39,23168.4,57391.72
en_simple_3,简单英文,1,what is thection of a shipdeck,"您询问的应该是船舶甲板的功能。甲板是船体顶部的水平结构，通俗来说就像是房屋的楼板，构成了船舶的顶部封盖。

甲板在船舶上的主要功能包括以下几个方面：

第一，封闭船体顶部，保证水密性和结构强度。甲板与",safe,False,383.45,0.04,2877.76,2170.48,5431.69,5431.69,5431.7,41946.72
en_simple_3,简单英文,2,what is thection of a shipdeck,"您的问题中的""thect ion""应为""deck""的修饰语，结合语境，您可能想问的是船舶甲板的功能。下面为您详细介绍船舶甲板的作用。

甲板是指船体顶部的水平结构，通俗来说就像是楼房的地板，将船体内部",safe,False,385.68,0.03,2360.53,2421.14,5167.35,5167.34,5167.35,45998.85
