test_id,category,run,text_input,text_output,safety_result,latency_asr_latency,latency_safety_latency,latency_llm_first_sentence,latency_tts_first_chunk,latency_first_playable,latency_total_response,latency_wall_total
zh_simple_1,简单中文,1,什么是龙骨？,"龙骨是船舶的脊梁，位于船体底部中心线，是整艘船最基础、最核心的承重结构。通俗来说，它就像人的脊椎骨，或者大楼的地基，支撑着整艘船的重量，并连接着船体的肋骨、甲板等所有横向和纵向构件。

从技术细节来看",safe,801.05,0.03,28553.03,5018.13,34372.21,34372.21,41778.58
zh_simple_1,简单中文,2,什么是龙骨？,"龙骨是船舶最底层、贯穿船体首尾的纵向主结构，通俗地说，它就像人体的脊椎骨，是整艘船的基干和建造基准。

从技术细节来看，龙骨位于船底中心线，是船体骨架中最关键的纵向受力构件。它的主要作用包括：第一，承",safe,148.76,0.02,15080.42,3895.89,19125.08,19125.08,19125.11
zh_simple_1,简单中文,3,什么是龙骨？,"龙骨是船舶最底层的基础构件，通俗地说，它就像是船舶的“脊梁骨”，位于船底正中，从船头一直延伸到船尾，是整艘船建造和受力的核心基础。

从技术细节来看，龙骨的作用和分类主要包括以下几个方面：

第一，结",safe,157.78,0.02,14318.41,4644.38,19120.58,19120.58,19120.61
zh_simple_2,简单中文,1,船务的作用是什么？,"您提到的船务，在造船与航运语境下通常指船舶运营管理或综合事务处理。从造船工程的角度来看，其核心作用主要体现在以下几个方面：

第一，新船建造的项目协调与技术对接。船务部门作为船东与造船厂之间的核心桥梁",safe,167.33,0.02,36154.49,5208.34,41530.16,41530.16,41530.19
zh_simple_2,简单中文,2,船务的作用是什么？,您提到的“船务”在造船领域的专业语境中，通常是指船舶舾装及系统配置的统称，也就是船舶上除船体结构之外的所有附属设施和系统。通俗来说，如果把船体比作毛坯房，船务相关的内容就是让这栋房子能够住人、能正常运,safe,249.62,0.04,14458.84,4532.89,19241.34,19241.35,19241.38
zh_simple_2,简单中文,3,船务的作用是什么？,"您提到的船务，在造船与航运语境下通常指船舶运营管理或综合事务处理。从造船工程的角度来看，其核心作用主要体现在以下几个方面：

第一，新船建造的项目协调与技术对接。船务部门作为船东与造船厂之间的核心桥梁",safe,188.12,0.02,30097.81,4575.41,34861.35,34861.36,34861.39
zh_simple_3,简单中文,1,甲板有哪些类型？,"船舶甲板是船体顶部的水平结构，通俗来说就像大楼的楼板，用于封盖船体内部空间并提供人员行走和设备布置的平台。根据位置和功能的不同，甲板主要分为以下几种类型：

第一，强力甲板。这是船体结构中最高一层且参",safe,189.82,0.02,20681.92,11730.48,32602.23,32602.23,32602.26
zh_simple_3,简单中文,2,甲板有哪些类型？,"甲板是船舶结构中的水平结构，不仅作为船员的通道和工作平台，更是保证船体总纵强度的重要构件。甲板主要按位置和功能进行分类，常见类型如下：

第一类是按位置划分。上甲板，通常指船体最上层的全通连续甲板，也",safe,167.17,0.02,32988.58,4970.1,38125.85,38125.86,38125.9
zh_simple_3,简单中文,3,甲板有哪些类型？,"船舶甲板是船体顶部的水平结构，通俗来说就像楼房的楼板，用于封盖船内空间并供人员行走或布置设备。按其在船体中的位置和功能，主要分为以下几种类型：

1. 强力甲板。这是船体结构中最高一层连续的甲板，也是",safe,167.52,0.02,19788.09,6196.98,26152.6,26152.6,26152.62
zh_simple_4,简单中文,1,船体外板的主要作用是什么？,"船体外板是指包裹在船体骨架外部，形成船舶水密外壳的钢板。它的主要作用包括以下几个方面：

第一，形成水密外壳以提供浮力。外板是船舶抵御外部水压、防止海水进入船内的第一道屏障，保证了船体的水密性，这是船",safe,181.91,0.02,18872.45,3897.05,22951.42,22951.42,22951.44
zh_simple_4,简单中文,2,船体外板的主要作用是什么？,"船体外板是构成船体封闭外壳的重要结构，其主要作用如下：

第一，保证船体的水密性。外板是船舶浮力的基础，通过形成不透水的封闭壳体，确保船舶能够排开水量产生浮力，从而承载船舶自身重量与货物重量。若外板破",safe,190.96,0.02,27208.81,4205.6,31605.38,31605.38,31605.4
zh_simple_4,简单中文,3,船体外板的主要作用是什么？,"船体外板是指覆盖在船体骨架外部，形成船舶水密外壳的钢板。它的主要作用包括以下几个方面：

第一，形成水密外壳，提供浮力。外板是船舶抵御外部水压、防止海水进入船内的第一道屏障，保证了船体的水密性，这是船",safe,196.88,0.02,23048.19,4435.58,27680.65,27680.65,27680.67
zh_simple_5,简单中文,1,螺旋桨为什么能推动传播前进？,"您好！您问题中的“传播”结合造船领域语境，应为语音识别误差，实际指的是“船舶”。下面为您解答螺旋桨推动船舶前进的原理。

螺旋桨推动船舶前进，核心原理是动量守恒与力的反作用，即牛顿第三定律。

通俗解",safe,215.15,0.02,23415.47,4071.74,27702.37,27702.37,27702.39
zh_simple_5,简单中文,2,螺旋桨为什么能推动传播前进？,"您好！您问题中的“传播”结合造船语境，应为语音识别误差，实际指的是“船舶”。螺旋桨之所以能推动船舶前进，核心原理是利用流体力学中的反作用力，将主机产生的旋转机械能转化为船舶前进的推力。

具体过程和原",safe,213.14,0.02,29436.78,4921.0,34570.92,34570.92,34570.94
zh_simple_5,简单中文,3,螺旋桨为什么能推动传播前进？,"您提到的“传播”应为语音识别误差，在造船领域正确含义为“船舶”。螺旋桨能推动船舶前进，核心原理是动量定理与牛顿第三定律，即作用力与反作用力。

通俗解释：螺旋桨就像水中的螺丝钉，它在旋转时把水向后方推",safe,212.41,0.02,24586.83,5547.51,30346.75,30346.75,30346.78
en_simple_1,简单英文,1,What is a bulkhead?,"舱壁是船舶内部用于分隔空间的垂直或水平结构。通俗地说，它就像是船体内部的隔断墙，把一个大船体划分成多个独立的房间或舱室。

从技术细节来看，舱壁在船舶设计与工程中具有多重关键作用：

第一，保证抗沉性",safe,183.12,0.01,24758.92,3880.42,28822.46,28822.46,28822.48
en_simple_1,简单英文,2,What is a bulkhead?,"舱壁是船舶内部用于分隔空间的垂直或水平分隔结构。通俗地讲，它就像是船体内部的隔断墙，把船内的大空间划分成多个独立的小舱室。

在技术细节上，舱壁在船舶设计与工程中发挥着至关重要的作用。首先是保证抗沉性",safe,178.8,0.01,19353.83,4158.2,23690.84,23690.84,23690.87
en_simple_1,简单英文,3,What is a bulkhead?,"舱壁是指船体内部用于分隔空间的垂直或水平分隔结构，通俗来说，它就像是船舶内部的墙壁或楼层板。

在造船专业领域，舱壁主要具有以下功能和分类：

功能方面：
1. 提高抗沉性：通过将船体内部划分成若干个",safe,191.13,0.02,33113.26,4900.04,38204.43,38204.43,38204.46
en_simple_2,简单英文,1,How does a propeller work on a ship?,"船舶螺旋桨的工作原理是将主机产生的旋转动力转化为推动船舶前进的推力。

通俗来说，螺旋桨就像是在水里旋转的螺丝钉，它通过旋转把水向后方推开，水则给螺旋桨一个向前的反作用力，从而推着船向前走。在造船领域",safe,183.41,0.02,35244.12,5538.32,40965.85,40965.85,40965.88
en_simple_2,简单英文,2,How does a propeller work on a ship?,"船舶螺旋桨的工作原理基于流体力学中的牛顿第三定律，即作用力与反作用力，同时利用机翼升力原理将发动机的旋转能量转化为推力。具体过程如下：

首先，螺旋桨通过主机驱动旋转，其叶片具有特定的曲面形状，类似于",safe,245.82,0.02,26540.79,4774.25,31560.86,31560.86,31560.89
en_simple_2,简单英文,3,How does a propeller work on a ship?,"船舶螺旋桨的工作原理是将主机产生的旋转动力转化为推动船舶前进的推力。

首先通俗地解释一下，螺旋桨就像是一把拧在水里的螺丝刀，它通过在水中的旋转，把水向后方推开，水则给螺旋桨一个向前的反作用力，从而推",safe,205.07,0.05,32401.12,7443.08,40049.27,40049.27,40049.3
en_simple_3,简单英文,1,What is the function of a ship deck?,"船舶甲板是船顶部的水平结构层，通俗来说就像是船舶的楼层，为船舶提供活动平台和遮蔽空间。它的主要功能包括以下几个方面：

第一，封闭船体与保证水密性。甲板与舱壁、舷侧等连接形成封闭的船壳，保护舱内空间不",safe,177.63,0.02,15586.48,4591.95,20356.07,20356.07,20356.09
en_simple_3,简单英文,2,What is the function of a ship deck?,"船舶甲板是船顶部的水平结构，通俗来说就像房屋的楼板，构成了船舶的分层。其主要功能如下：

第一，保证船体结构强度与水密性。甲板与船体外板、舱壁共同构成封闭的壳体，提供纵向抗弯强度，抵抗船舶在波浪中产生",safe,257.3,0.04,8956.97,3604.13,12818.41,12818.42,12818.43
en_simple_3,简单英文,3,What is the function of a ship deck?,"甲板是船舶顶部的水平结构，通俗来说就像房子的楼板，将船体内部空间上下分层。其主要功能如下：

第一，封闭船体顶部，保证水密性。甲板与舷侧外板连接，形成水密的外壳，防止海水涌入，保障船舶浮力和内部舱室的",safe,210.15,0.02,20880.68,5791.68,26882.53,26882.53,26882.55
